Feature,Importance
Customers,0.8201890967226667
Sales_Rolling_7,0.06362714283757337
Sales_Lag_1,0.030841601671847935
CompetitionDistance,0.015748373850380883
Promo,0.01322106286476126
PromoEffect,0.01261469991856308
StoreType_d,0.007378443008253419
Store,0.005257620097598206
Day,0.005111807306227151
Promo2SinceWeek,0.004775824892580235
DayOfWeek,0.004604006752552065
CompetitionOpenSinceYear,0.004227360247286097
Promo2SinceYear,0.0034758995417627906
CompetitionOpenSinceMonth,0.0025608189954737515
Month,0.0022765137809658254
Assortment_c,0.001085714210199264
Year,0.00101403405306393
"PromoInterval_Jan,Apr,Jul,Oct",0.0006705471053732894
StoreType_c,0.00047146997182984785
SchoolHoliday,0.00038535820463848414
"PromoInterval_Mar,Jun,Sept,Dec",0.0002458470517723014
IsHoliday,0.0002014680262172348
StateHoliday_a,1.5288472543805443e-05
StateHoliday_b,4.1586905450475137e-10
Open,0.0
Promo2,0.0
StateHoliday_c,0.0
